transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T02736,U040,August 05 2020,Expense,Entertainment,187,Bank Transfer,Bengaluru,Doctor visit cash
T00990,U014,October 16 2022,Expense,Others,"2,506",Bank Transfer,Ahmedabad,Doctor visit cash
T08692,U116,2020-04-05,Income,Salary,"56,751",UPI,Bengaluru,Paid electricity bill
T07857,U002,07/08/2019,Income,Other Income,"63,433",Bank Transfer,Ahmedabad,Paid electricity bill cash
T08139,U079,2022-12-18,Income,Bonus,"55,318",Cash,Bengaluru,Monthly rent cash
T02021,U035,2022-04-29,Expense,Others,206,UPI,Kolkata,Uber to office
T08463,U179,28-10-22,Expense,Utilities,215,Cash,Bengaluru,Uber to office 
T09732,U071,2019-02-16,Expense,Travel,"2,871",Card,mumbai,Monthly rent via app
T08387,U009,07/15/2020,Expense,Utilities,272,UPI,Pune,VDSr4SI1JVHg
T04370,U119,March 31 2021,Expense,Food,"5,387",Bank Transfer,Pune,A7Brvt0bSrovLXo
T03937,U104,18-06-22,Income,Other Income,"53,334",Cash,Ahmedabad,Grocery shopping 
T12024,U066,01-03-22,Expense,Travel,239,Bank Transfer,Pune,Paid electricity bill
T14443,U025,13-02-20,Expense,Rent,₹129,UPI,Lucknow,
T05759,U088,2019-12-28,Expense,Entertainment,123,Bank Transfer,Chennai,Dinner at resto cash
T00315,U142,January 09 2019,Expense,Food,143,Cash,Chennai,
T05202,U088,2019-04-18,Expense,Food,125,Cash,Jaipur,Monthly rent
T11066,U031,December 13 2020,Expense,,367,Bank Transfer,Kolkata,NLS1gMaaOza0C0cf
T01016,U041,01/12/2019,Expense,Others,517,Cash,Kolkata,Doctor visit
T06997,U075,10-02-19,Expense,Food,"₹3,186",Bank Transfer,Chennai,Grocery shopping
T02973,U129,,Expense,Food,141,Bank Transfer,Bengaluru,Paid electricity bill
T03039,U141,10/24/2019,Expense,Travel,266,Bank Transfer,Lucknow,Doctor visit
T14348,U166,12-02-21,Expense,Food,996,UPI,Bengaluru,Paid electricity bill late
T11938,U090,10/09/2021,Expense,Others,"1,901",,Chennai,
T07615,U038,10-05-19,Expense,Rent,$186,UPI,Ahmedabad,Monthly rent
T06608,U163,2019-03-06,Expense,Rent,216,Card,mumbai,zQQvRHrCGH
T07654,U175,11-02-20,Expense,Others,196,Bank Transfer,Hyderabad,Course fee cash
T01611,U019,23-08-20,Expense,Rent,"1,015",UPI,Ahmedabad,Salary cash
T01335,U113,July 17 2019,Income,Bonus,"46,491",UPI,Delhi,Gift
T07445,U075,06/16/2022,Expense,ood,"₹4,048",Bank Transfer,,Monthly rent
T10705,U035,05/24/2022,Income,Other Income,"₹32,770",Bank Transfer,Pune,Dinner at resto
T11761,U093,November 10 2019,Expense,Entertainment,"2,951",Cash,Pune,Uber to office
T11949,U127,2022-02-14,Expense,Food,56,Bank Transfer,Bengaluru,Grocery shopping
T00222,U014,2022-07-04,Expense,Traavel,745,Cash,Delhi,Uber to office via app
T08940,U062,2021-02-01,Income,Salary,"52,826",Card,Mumbai,Paid electricity bill 
T03286,U119,March 27 2020,Expense,Savings,₹408,Card,Chennai,Paid electricity bill cash
T13097,U067,2019-09-27,Expense,Rent,"1,237",Card,Mumbai,Gift cash
T12188,U005,2022-04-19,Expense,Entertainment,,Bank Transfer,Kolkata,Monthly rent cash
T01970,U044,October 04 2022,Expense,Rent,"1,530",Card,Hyderabad,Netflix subscription
T01399,U076,06-01-19,Expense,Travel,200,UPI,Delhi,Grocery shopping late
T08098,U049,June 29 2019,Expense,Travel,183,Cash,Ahmedabad,Salary
T02085,U176,2022-03-14,Expense,Food,₹333,Bank Transfer,bengaluru,Doctor visit 
T01842,U161,October 13 2021,Expense,Food,"1,275",Card,Kolkata,Gift 
T11562,U140,06-04-20,Expense,Entertainment,"1,769",Cash,jaipur,Paid electricity bill 
T07877,U032,July 21 2022,Expense,Travel,100,Bank Transfer,Jaipur,cJ9BkudD4Tf3Ql
T03340,U107,12/27/2020,Expense,Rent,₹814,Card,delhi,Gift
T14028,U175,04-07-21,Expense,Utilities,208,Cash,Mumbai,Salary via app
T03872,U051,2021-12-22,Expense,Education,₹113,UPI,Bengaluru,Grocery shopping
T03916,U086,24-12-20,Expense,Rent,44,Cash,Kolkata,Gift
T14446,U136,2022-03-24,Expense,Rent,219,Card,Mumbai,Course fee
T09919,U177,01-07-19,Income,Salary,"52,861",UPI,Kolkata,Course fee
T02778,U103,09/20/2020,Expense,Food,33,CCash,Jaipur,Monthly rent
T03163,U022,10-04-20,Expense,Entertainment,418,Bank Transfer,Ahmedabad,Paid electricity bill
T02942,U003,30-10-21,Expense,Savings,184,UPI,Pune,sboT5a6RW
T04791,U112,2020-08-03,Income,Other Income,"68,894",Bank Transfer,Hyderabad,Salary 
T02335,U052,22-04-19,Expense,Savings,"2,849",UPI,,Uber to office
T09490,U109,May 28 2022,Expense,Food,55,Cash,Hyderabad,Uber to office
T07421,U093,02/18/2021,Expense,Others,373,Cash,Jaipur,Netflix subscription via app
T06200,U001,08/24/2020,Expense,Rent,201,Bank Transfer,Pune,
T04759,U144,09/10/2022,Expense,Savings,"₹8,360",Bank Transfer,Lucknow,Dinner at resto via app
T11740,U083,05/20/2021,Expense,Food,"1,766",Cash,Chennai,Grocery shopping
T08870,U077,20-07-21,Expense,Tavel,411,Bank Transfer,Ahmedabad,Paid electricity bill late
T14621,U063,2020-02-22,Expense,Rent,20,Card,Mumbai,kU9tfLsTrc
T14576,U106,2019-10-28,Expense,Rent,78,Card,Ahmedabad,Netflix subscription
T09583,U118,12/11/2019,Expense,Rent,₹720,Cash,Bengaluru,Grocery shopping
T12697,U165,2021-09-09,Expense,OOthers,"1,067",UPI,Hyderabad,Netflix subscription cash
T00428,U041,June 29 2020,Expense,Food,693,Bank Transfer,Hyderabad,Doctor visit
T13693,U161,February 15 2021,Expense,Travel,641,Card,Delhi,Paid electricity bill
T03728,U066,07/06/2022,Expense,Utilites,₹389,UPI,Bengaluru,
T08570,U087,2020-09-03,Expense,Food,556,Card,Lucknow,Salary cash
T14413,U181,10/05/2022,Income,Salary,"₹60,559",UPI,Jaipur,Grocery shopping late
T00734,U019,2021-10-04,Expense,Health,57,Bank Transfer,Mumbai,Doctor visit
T03776,U048,2020-05-09,Expense,Food,641,Card,Bengaluru,CoBzaIzlT
T02361,U087,June 24 2022,Expense,Travel,564,UPI,Delhi,Doctor visit late
T11868,U053,29-04-19,Expense,Rent,"1,229",Cash,pune,Grocery shopping 
T13423,U102,2021-06-12,Expense,,435,Cash,Hyderabad,Gift
T08941,U071,August 02 2019,Expense,Food,189,UPI,Ahmedabad,Netflix subscription
T12761,U005,01/31/2021,Expense,Entertainment,37,Bank Transfer,JAIPUR,Gift
T00663,U169,2020-11-16,Expense,Travel,175,Card,Delhi,Salary
T05581,U170,11/11/2021,Expense,Food,"2,183",UPI,Hyderabad,Salary cash
T04057,U147,May 29 2021,Expense,eRnt,705,Cash,Bengaluru,Salary
T06229,U175,2019-07-01,Expense,Trave,404,Bank Transfer,Pune,Course fee
T13394,U134,2019-04-02,Income,Bonus,"45,883",Card,Mumbai,Course fee cash
T04446,U111,05/26/2022,Expense,Food,₹40,Cash,Pune,Monthly rent cash
T11310,U028,08/29/2021,Income,Salary,"69,360",Bank Transfer,Mumbai,Gift cash
T11529,U033,03/01/2021,Expense,Food,₹227,Cash,Bengaluru,Netflix subscription late
T13813,U143,09-12-21,Expense,Food,757,UPI,Kolkata,16wmjUjz
T00554,U005,2019-01-23,Expense,Food,81,Card,Ahmedabad,Netflix subscription
T14182,U082,June 11 2021,Expense,Food,196,Bank Transfer,Jaipur,Monthly rent
T05044,U160,25-06-21,Income,Bonus,"53,159",Cash,Lucknow,
T05971,U148,2021-05-28,Expense,Travel,₹86,UPI,Lucknow,Monthly rent
T10626,U049,21-04-21,Expense,Rent,641,Cash,bengaluru,Salary
T05376,U053,2019-10-14,Expense,Rent,143,Bank Transfer,Kolkata,Netflix subscription via app
T03003,U095,21-04-20,Expense,Savingss,"2,035",Card,Chennai,Salary
T06854,U074,18-03-21,Expense,Rent,51,Cash,Pune,zldFyXXwJ
T01355,U095,2019-10-15,Expense,Rent,"1,766",Cash,Delhi,
T00101,U177,06/13/2021,Expense,Food,575,Bank Transfer,Jaipur,Netflix subscription
T11581,U112,17-08-22,Expense,Rent,$123,Card,,Netflix subscription cash
T07843,U067,16-01-21,Expense,Health,195,Bank Transfer,Hyderabad,Salary
T07405,U080,2020-01-17,Expense,Food,587,Card,Bengaluru,LDRxleWusbe7ZvYa
T06736,U061,10/14/2020,Expense,Rent,555,UPI,,Dinner at resto
T07517,U005,11-05-20,Expense,Rent,61,UPI,Hyderabad,Doctor visit
T06119,U147,28-06-19,Expense,Utilities,824,Cash,Pune,Dinner at resto
T00904,U189,2019-03-06,Expense,Savings,443,Bank Transfer,Delhi,Dinner at resto cash
T08456,U076,10/04/2022,Expense,Food,225,Cash,Chennai,Paid electricity bill
T14290,U066,07-12-20,Income,Bonus,"63,456",UPI,Bengaluru,
T13075,U077,2020-04-30,Expense,Rent,326,Card,Ahmedabad,Dinner at resto 
T03061,U087,29/10/19,Expense,Rent,"1,881",Card,Lucknow,Course fee
T11432,U159,09-07-22,Expense,Trave,111,Bank Transfer,Delhi,1yv2UgqhuT
T04560,U020,01/24/2022,Expense,Travel,"₹5,172",Bank Transfer,Mumbai,Course fee
T02114,U189,2021-06-20,Expense,Travel,"$1,703",Cash,Lucknow,Doctor visit via app
T12679,U181,11/03/2021,Income,Other Income,"₹58,619",UPI,Mumbai,
T14712,U016,04-08-21,Expense,Savings,"1,711",Card,Pune,Uber to office via app
T06760,U051,November 23 2019,Income,Other Income,"45,038",Bank Transfer,Ahmedabad,Doctor visit
T10248,U108,June 26 2019,Expense,Entertainment,"1,050",Cash,Hyderabad,Uber to office
T13425,U023,March 13 2019,Expense,Travel,617,Cash,Ahmedabad,Course fee 
T05533,U026,June 24 2021,Expense,Travel,₹45,Cash,Delhi,
T07945,U058,2022-12-20,Expense,Rent,104,Cash,hyderabad,Uber to office
T13942,U013,14-05-21,Expense,Food,"₹2,421",Card,JAIPUR,
T14822,U185,2020-09-01,Income,Other Income,"69,193",Cash,Delhi,Dinner at resto 
T06956,U074,2020/11/17,Expense,Education,143,Bank Transfer,Bengaluru,
T11139,U088,17-03-21,Expense,Rent,959,Bank Transfer,,Salary
T11916,U163,2019-12-03,Income,Salary,"41,560",Cash,Lucknow,Doctor visit late
T08529,U168,2019-05-29,Expense,eRnt,77,UPI,,Monthly rent
T14294,U155,2022-02-09,Expense,Travel,"1,175",Bank Transfer,Mumbai,Gift
T12514,U093,11/01/2020,Expense,Utilities,₹85,Bank Transfer,Chennai,Uber to office 
T09379,U117,04/29/2021,Expense,Rent,232,,Bengaluru,Uber to office
T14731,U026,11-02-21,Expense,Food,"1,588",Card,Chennai,Uber to office via app
T13317,U027,,Expense,Ren,205,Bank Transfer,Kolkata,Dinner at resto
T06479,U152,14-04-21,Expense,Travel,374,UPI,Pune,Netflix subscription
T05787,U014,10/22/2022,Expense,Food,263,UPI,Jaipur,Gift via app
T09733,U191,30-01-21,Expense,Entertainment,757,Card,Pune,Gift late
T02638,U040,2021-01-17,Expense,Rent,₹50,UPI,Mumbai,Grocery shopping 
T06460,U061,12-11-21,Income,Bonus,"43,834",Cash,Delhi,Gift cash
T02527,U099,2020-10-11,Expense,Utilities,472,Cash,Lucknow,Uber to office cash
T10439,U135,01/22/2021,Income,Salary,"49,691",UPI,Pune,Salary via app
T12034,U100,July 25 2020,Expense,rTavel,"1,413",Caard,delhi,nqj5djeLfknN4JU
T14582,U014,October 09 2021,Expense,Education,207,Card,Hyderabad,Netflix subscription
T03605,U090,08-04-22,Expense,Entertainment,923,Cash,Bengaluru,Course fee 
T03072,U131,12/24/2020,Expense,Utilities,157,Bank Transfer,Kolkata,4qk8NxcvcHAcxzQrBB
T08208,U185,01/30/2019,Expense,Savings,"2,425",Cash,Mumbai,Monthly rent
T02374,U089,06/02/2020,Expense,Rent,106,UPI,Pune,Doctor visit
T05338,U050,July 29 2021,Expense,Food,$406,Card,Kolkata,
T06327,U060,2020-09-26,Expense,Food,264,Bank Transfer,Kolkata,lPujru8v5kb9vKPv
T13510,U070,07/21/2022,Expense,Utilities,₹133,UPI,Mumbai,Uber to office 
T10985,U114,11-03-21,Expense,Savings,747,Cash,Mumbai,Uber to office
T00159,U152,11/15/2022,Expense,Others,914,Cash,Mumbai,
T08980,U025,11/12/2021,Income,Bonus,"68,420",Bank Transfer,Delhi,Uber to office
T07670,U084,15-05-21,Expense,Travel,348,UPI,Pune,Paid electricity bill
T11084,U053,2019-01-11,Income,Bonus,"57,190",UPI,Jaipur,Salary 
T11154,U031,2020-03-23,Expense,Foo,568,Bank Transfer,,Dinner at resto 
T06945,U077,18-10-22,Expense,Travel,125,Bank Transfer,mumbai,Paid electricity bill late
T11314,U124,May 30 2019,Expense,Others,726,UPI,Chennai,Salary
T01430,U121,04/29/2020,Expense,Food,301,UPI,Kolkata,Paid electricity bill cash
T02530,U164,2020-10-19,Income,Salary,"39,615",UPI,Bengaluru,Paid electricity bill
T10146,U042,2019-06-05,Expense,Health,324,Bank Transfer,Kolkata,Uber to office 
T07377,U064,12/08/2020,Expense,Rent,"₹1,789",Card,Hyderabad,iU4GRmkU
T08343,U113,2020-12-24,Expense,Food,,Card,Kolkata,Course fee late
T10891,U143,2021-11-07,Expense,Rent,61,Card,Mumbai,RQEpVsCm
T05368,U170,January 16 2021,Expense,Food,64,Cash,Delhi,Monthly rent 
T09121,U146,2022-03-15,Income,Salary,"66,226",Bank Transfer,Pune,Paid electricity bill cash
T02141,U084,2022-11-17,Expense,Food,114,Card,Jaipur,Paid electricity bill
T13464,U179,01/05/2021,Expense,Travel,97,UPI,Lucknow,Netflix subscription
T02339,U157,July 24 2022,Expense,Food,323,UPI,Mumbai,Salary cash
T06675,U117,06/03/2019,Expense,Utilities,246,Cash,Ahmedabad,Dinner at resto
T02186,U190,02-03-19,Income,Otehr Income,"59,622",Card,Kolkata,Uber to office
T04574,U033,2020-10-07,Expense,Utilities,965,Bank Transfer,Ahmedabad,Gift via app
T08561,U112,March 14 2022,Expense,Rent,116,Card,Jaipur,Netflix subscription
T05331,U115,2019-04-03,Expense,Food,"₹1,372",Cash,Bengaluru,Monthly rent
T06662,U174,01/23/2019,Expense,Travel,142,Cash,Jaipur,Netflix subscription
T13401,U026,2019-11-04,Expense,Entertainment,83,Bank Transfer,mumbai,Course fee
T14142,U180,2020/05/05,Expense,Foo,231,UPI,Delhi,Netflix subscription cash
T13459,U102,06/15/2019,Expense,Utilities,₹485,Bank Transfer,Pune,
T12022,U057,10-12-20,Expense,Savings,"3,866",Bank Transfer,Chennai,
T00209,U064,23-01-19,Income,Bonus,"$63,751",Cash,Bengaluru,Salary via app
T14671,U023,2019-02-11,Expense,Food,"1,789",UPI,Chennai,CTahRXPpt1r
T07051,U041,2020-03-26,Income,Salary,"75,840",Card,,Dinner at resto via app
T01429,U085,January 10 2022,Expense,Rent,69,UPI,Delhi,Grocery shopping 
T00757,U022,12/15/2021,Expense,Travel,"4,679",Bank Transfer,Delhi,Doctor visit cash
T10510,U019,2020-08-27,Expense,rTavel,791,UPI,Chennai,
T14667,U108,2020-02-11,Expense,Food,259,UPI,,Doctor visit cash
T02915,U139,11-01-22,Expense,Others,843,UPI,Kolkata,Paid electricity bill
T06420,U054,2021-08-03,Expense,Food,516,Bank Transfer,Mumbai,Gift
T09600,U099,10/20/2022,Expense,Rent,731,Bank Transfer,Delhi,Salary late
T05845,U096,15-03-19,Expense,Food,388,Bank Transfer,Bengaluru,Netflix subscription
T09062,U185,02/09/2022,Expense,Rent,418,Bank Transfer,mumbai,Paid electricity bill cash
T11610,U102,2019-07-31,Income,Other Income,"54,548",UPI,Mumbai,Salary cash
T11709,U028,November 28 2020,Expense,Rent,201,Cash,Bengaluru,Doctor visit via app
T07464,U043,2020-02-18,Expense,Food,"$999,999",Card,Delhi,
T07338,U071,July 06 2019,Income,Bonus,"68,463",Cash,lucknow,zhjquyI3MwYbP4rQr9
T00082,U163,26-07-21,Expense,Food,"1,325",Card,Jaipur,Dinner at resto
T08610,U147,April 14 2019,Expense,Food,"8,096",Cash,Jaipur,Course fee
T08325,U164,07/29/2019,Expense,Rent,$194,Bank Transfer,Bengaluru,Dinner at resto
T03004,U039,October 07 2020,Expense,Rnt,"1,706",Bank Transfer,Lucknow,Doctor visit
T01792,U095,24-01-20,Expense,Food,₹20,UPI,Kolkata,Gift via app
T07169,U054,2022-03-29,Expense,Rent,424,UPI,Jaipur,Grocery shopping via app
T12842,U146,2020-10-21,Expense,Others,"2,364",Card,Mumbai,Salary
T01961,U039,01/07/2021,Expense,Food,183,UPI,Mumbai,
T01299,U062,07/19/2019,Expense,Food,594,Bank Transfer,Bengaluru,Netflix subscription
T03989,U113,06/27/2019,Expense,Food,239,Card,Jaipur,Paid electricity bill cash
T13134,U158,2020-04-17,Income,Other Income,"48,427",UPI,Hyderabad,Uber to office
T10795,U116,2020-08-28,Expense,Food,₹287,Bank Transfer,Bengaluru,Dinner at resto 
T02251,U136,01/12/2022,Expense,Rent,709,Card,Ahmedabad,Course fee late
T04812,U129,12/12/2020,Expense,Entertainment,"4,518",Card,Lucknow,Netflix subscription
T11426,U069,2020-08-15,Expense,Food,512,Cash,Jaipur,9mR8zTIgFl
T01546,U141,2019-04-12,Expense,Travel,$335,Bank Transfer,Hyderabad,Doctor visit
T11648,U102,2021-08-06,Expense,Otehrs,"1,952",Cash,Lucknow,Gift
T03610,U010,2019-05-24,Income,Bonus,"₹39,902",UPI,Jaipur,Paid electricity bill late
T04796,U055,2021-06-28,Expense,Rent,255,UPI,Chennai,Netflix subscription
T14447,U186,09/16/2019,Expense,Food,$964,Card,Bengaluru,Salary
T01971,U168,2020-10-22,Income,Salary,"67,136",Bank Transfer,Ahmedabad,Monthly rent
T11440,U081,November 01 2019,Expense,Rent,"₹-1,049",Bank Transfer,Delhi,Grocery shopping 
T04580,U137,2022-02-01,Expense,Rent,"2,070",Card,Pune,Doctor visit
T08563,U115,19-10-22,Expense,Utilities,₹730,Card,Mumbai,Uber to office via app
T02867,U047,02/15/2019,Expense,Education,970,Cash,Lucknow,Dinner at resto
T14631,U184,March 27 2021,Expense,Utilities,101,Cash,Jaipur,Course fee
T13312,U127,10-11-20,Expense,Travel,480,Bank Transfer,Pune,Netflix subscription
T03414,U103,29-10-20,Expense,Travel,49,Bank Transfer,Lucknow,Course fee
T01292,U136,2020-10-19,Expense,Rent,18,Cash,Hyderabad,Paid electricity bill
T13881,U165,02/03/2019,Expense,Entertainment,908,Card,Chennai,Monthly rent
T14170,U095,July 03 2022,Expense,Travel,"1,701",Cash,Kolkata,Salary
T02412,U093,18-11-21,Expense,Food,"1,328",Card,Kolkata,Paid electricity bill
T13217,U048,2021-05-18,Expense,Food,₹412,UPI,Kolkata,iu2HPMFwQ3ZsxQWTV25
T06670,U182,23-01-19,Expense,Food,"4,204",Card,Ahmedabad,
T13829,U025,2019-01-27,Expense,Savings,284,Card,DELHI,Dinner at resto
T08053,U134,December 13 2021,Expense,Rent,"2,016",Card,Ahmedabad,Monthly rent
T12635,U060,07/28/2021,Income,Other Income,"64,138",Bank Transfer,Jaipur,Monthly rent via app
T13323,U122,2022-03-27,Expense,Travel,"1,741",Card,Lucknow,Course fee via app
T02261,U172,2021-05-02,Income,Salary,"77,659",Card,AHMEDABAD,Dinner at resto
T02196,U090,31-05-22,Expense,Food,448,Bank Transfer,Kolkata,Uber to office late
T08791,U179,2019-11-12,Expense,Food,299,Bank Transfer,Jaipur,Dinner at resto
T09528,U142,2022-01-10,Income,Other Income,"75,061",UPI,Mumbai,Salary
T12537,U162,08/24/2019,Income,Bonus,"59,042",UPI,Lucknow,Paid electricity bill
T14935,U174,02/23/2020,Expense,Education,"$1,152",UPI,Kolkata,Doctor visit 
T00155,U131,2019-06-10,Expense,Food,47,Card,Bengaluru,Paid electricity bill
T10688,U164,03/26/2020,Expense,Rent,160,Bank Transfer,Jaipur,
T11189,U045,2021-07-03,Expense,Food,600,Cash,Bengaluru,Course fee via app
T08825,U183,20-02-21,Income,Bonus,"42,819",Card,Ahmedabad,Gift via app
T11091,U150,16-07-22,Expense,Food,164,Bank Transfer,Jaipur,7LFdoPRzhpf
T14178,U146,07-10-19,Expense,Rent,349,Bank Transfer,Jaipur,Gift
T09491,U106,August 15 2021,Expense,Education,₹548,UPI,Mumbai,Monthly rent
T08671,U042,February 18 2019,Expense,Utilities,"2,209",Card,Bengaluru,Paid electricity bill
T10156,U091,20-01-21,Expense,Rent,490,Bank Transfer,Delhi,
T12486,U034,05/26/2019,Expense,Rent,"6,523",Cash,Delhi,Monthly rent
T02655,U013,08/19/2020,Income,Other Income,"76,838",UPI,Kolkata,Uber to office
T01251,U136,25-01-19,Expense,Retn,"$1,364",Card,Chennai,
T07139,U025,08/05/2020,Expense,Education,767,Card,Pune,Uber to office
T11750,U049,2021-03-08,Expense,Travel,117,,Delhi,Monthly rent late
T05211,U001,November 30 2022,Expense,Utilities,102,Cash,Lucknow,Monthly rent
T01271,U047,09-03-19,Expense,Rent,416,UPI,pune,Netflix subscription
T12823,U109,10/30/2021,Expense,Entertainment,111,Bank Transfer,Hyderabad,Grocery shopping
T05730,U076,03/02/2021,Expense,Entertainment,831,Bank Transfer,Kolkata,fADSGGeLdIUz9KhNcw
T00038,U047,06-09-20,Income,Salary,"49,333",Bank Transfer,Bengaluru,
T06339,U036,08/03/2020,Expense,Entertainment,117,UPI,Lucknow,Uber to office
T05864,U044,11-07-20,Expense,Utilities,366,UPI,Jaipur,Doctor visit
T08764,U055,22-11-21,Expense,Rent,710,Card,Mumbai,Netflix subscription
T12348,U042,10/10/2021,Expense,Food,480,UPI,Lucknow,Salary
T07760,U114,07/24/2021,Income,Salary,"72,217",Cash,Kolkata,Grocery shopping 
T09286,U160,2019-02-20,Expense,Travel,"1,945",Cash,Jaipur,Gift via app
T13284,U090,08/03/2019,Expense,Utilities,32,Card,Pune,Grocery shopping
T13099,U035,11/23/2019,Expense,Entertainment,366,Cash,Jaipur,Grocery shopping
T07554,U057,November 05 2022,Income,Bonus,"$69,315",Cash,Chennai,Paid electricity bill via app
T09196,U118,03/23/2021,Expense,Travel,-786,Bank Transfer,Bengaluru,Netflix subscription 
T08216,U051,10/31/2019,Income,Salary,"42,490",Cash,Kolkata,Grocery shopping
T11884,U077,20-09-22,Expense,Food,642,Cash,Hyderabad,D3QuRGl5j4yuEvu
T06735,U016,2019-06-12,Expense,Travel,614,Bank Transfer,Hyderabad,Salary 
T11126,U054,September 25 2022,Expense,Health,201,Cash,Ahmedabad,Netflix subscription
T09160,U129,2021-09-02,Expense,Travel,182,Bank Transfer,Delhi,Course fee
T03666,U065,June 20 2022,Expense,Entertainment,$465,Bank Transfer,Delhi,Dinner at resto
T02411,U059,05/25/2020,Expense,Rent,"1,253",UPI,Jaipur,Netflix subscription via app
T00296,U082,September 16 2019,Expense,Food,527,Bank Transfer,Pune,Gift
T04299,U138,December 13 2022,Expense,Rent,₹457,UPI,Mumbai,Gift
T00859,U091,08/24/2019,Expense,Entertainment,135,UPI,Hyderabad,uGLMTS2HW
T04402,U165,13-06-20,Expense,Food,"6,543",Cash,Pune,Paid electricity bill late
T08652,U162,,Expense,Travel,"1,713",Cash,Jaipur,Gift
T13750,U057,April 15 2021,Expense,Savings,45,UPI,Mumbai,Doctor visit
T08158,U112,November 01 2020,Expense,Rent,₹72,Cash,Jaipur,Gift via app
T03941,U181,12/07/2021,Expense,Food,₹462,UPI,Chennai,Salary
T03627,U165,2020-08-13,Expense,Food,"1,220",Card,Bengaluru,Uber to office
T09082,U100,09/30/2019,Expense,Entertainment,70,Cash,Mumbai,
T11961,U143,2019-08-19,Expense,Savings,50,Bank Transfer,Pune,Salary late
T04197,U143,11-12-22,Expense,Travel,₹184,Card,Hyderabad,Uber to office
T04647,U088,05-08-20,Expense,Rent,"2,081",Bank Transfer,Hyderabad,Netflix subscription
T06193,U122,05/29/2020,Income,Bonus,"55,407",Cash,Bengaluru,Dinner at resto 
T02800,U167,2021-04-05,Expense,Food,111,Cash,Bengaluru,Grocery shopping cash
T08614,U088,December 05 2021,Expense,Rent,₹437,Bank Transfer,Mumbai,Dinner at resto cash
T13650,U082,03/29/2020,Expense,Food,"999,999",Card,Hyderabad,Course fee late
T11459,U027,01/13/2022,Income,Bonus,"₹72,765",Bank Transfer,Bengaluru,Salary 
T05986,U045,05-06-19,Income,Salary,"53,363",Bank Transfer,Jaipur,Grocery shopping
T00664,U148,01/16/2019,Expense,Rent,278,Cash,Pune,Paid electricity bill
T03553,U182,01/10/2020,Expense,Food,374,Bank Transfer,Mumbai,Dinner at resto
T14023,U034,10-06-22,Income,Bonus,"47,686",Cash,Ahmedabad,Grocery shopping
T07420,U147,06/25/2019,Expense,Utilities,356,Cash,Chennai,Course fee
T06012,U038,April 12 2020,Expense,Utilities,160,Cash,Mumbai,Gift late
T09541,U036,2019-01-11,Expense,Rent,234,Cash,Lucknow,
T14704,U001,08/09/2020,Income,Other Income,"55,351",Card,Jaipur,Gift
T06040,U077,19-01-22,Expense,Food,"₹1,443",,Lucknow,Monthly rent
