transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T12187,U060,06/26/2024,Expense,FOOD,8174,bank transfer,Pune,
T13685,U047,2021-08-03,Income,Investment,74243,Cash,JAIPUR,Shopping
T6605,U124,2023-10-17,Expense,FOOD,8640,cash,Jaipur,Coffee
T3940,U085,2021-06-25,Expense,food,9784,Crd,JAIPUR,Uber ride
T12289,U001,26-12-2021,Expense,Rentt,45093,CRD,PUN,Electricity bill
T12849,U049,04/21/2021,Expense,FOOD,2130,UPI,lucknow,Restaurant dinner
T6257,U036,2023-02-21,Expense,Food,4816,UPi,PUN,Lunch
T3936,U039,10/05/2023,Expense,food,2247,card,chennai,Uber ride
T10279,U087,2021-03-13,Income,Freelance,46587,CRD,LUCKNOW,asdfgh
T11375,U060,,Expense,Entertainment,₹6699,Csh,Lucknow,Internet bill
T2772,U093,,Expense,Travel,3345,BankTransfer,,xyz123
T0177,U038,2022-06-13,Expense,Others,6610,csh,PUNE,Restaurant dinner
T3986,U077,2024-12-20,Expense,travel,₹4692,upi,jaipur,Fixed deposit
T2217,U113,2023-04-02,Expense,Rnt,$6756,Bank_Transfer,PUN,
T3810,U004,02-03-21,Expense,Educaton,5305,bank transfer,CHE,Restaurant dinner
T7155,U060,08/14/2022,Income,Bonus,67675,Bank Transfer,BANGALORE,
T8163,U016,2021-03-29,Expense,Entertain,7845,csh,DEL,asdfgh
T7044,U049,18-05-22,Expense,Entertainment,7183,cash,,Shopping
T3840,U144,2022-08-23,Expense,Utilties,6908,Card,BAN,
T3774,U020,2023-09-08,Expense,Rentt,47146,card,Delhi,
T3961,U111,2024-07-15,Expense,HEALTH,5749,csh,pune,Internet bill
T13582,U133,26-10-2021,Expense,Entrtnmnt,5542,CARD,Kolkata,Petrol
T11104,U121,14-09-22,Expense,travel,3429,card,MUM,Lunch
T8714,U065,2021-06-23,Expense,Entertain,237,Bank Transfer,JAIPUR,Petrol
T2709,U138,18-08-22,Expense,SAVINGS,8231,UPI,CHENNAI,Lunch
T2156,U018,11-05-22,Expense,Utlities,Rs.9859,UPI,kolkata,EMI payment
T8551,U065,2024-03-20,Expense,utilities,2288,UPI,Kolkata,
T10622,U030,2022-01-26,Expense,Travel,5756,Bank_Transfer,HYD,ATM withdrawal
T9673,U145,10/31/2021,Expense,Rentt,Rs.28183,Upi,Delhi,...
T8967,U125,16-03-23,Income,Others,41720,Bank_Transfer,pune,Doctor consultation
T11141,U098,10/07/2024,Expense,rent,7335,Bank Transfer,CHENNAI,!!!
T4430,U147,2024-10-04,Expense,RENT,287,CARD,HYDERABAD,Restaurant dinner
T11810,U060,12/30/2021,Income,Others,57828,UPI,ahmedabad,Shopping
T10574,U061,2021-10-28,Expense,Education,₹9601,,kolkata,Uber ride
T9406,U131,12/08/2021,Expense,Entertainment,2186,CRD,Bangalore,Online course
T2288,U143,14-06-21,Expense,Entrtnmnt,8093,CARD,lucknow,asdfgh
T1733,U080,05/03/2023,Expense,Travel,2272,Bank Transfer,HYD,Gym membership
T13220,U140,02/05/2024,Expense,Foodd,4549,Csh,CHENNAI,ATM withdrawal
T9379,U106,2021-11-26,Expense,Rent,21603,csh,JAIPUR,Petrol
T0617,U046,2021-01-22,Expense,Fod,1641,csh,kolkata,
T13759,U109,27-12-21,Expense,Educaton,7941,Upi,CHENNAI,test
T0147,U114,27-06-21,Expense,Travl,$7135,cash,LUCKNOW,ATM withdrawal
T4332,U089,21-11-23,Expense,FOOD,4265,UPi,hyderabad,
T12052,U046,09/09/2023,Expense,savings,8634,Bank Transfer,LUC,Gym membership
T4585,U003,2024-05-21,Expense,Entertain,1006,Upi,hyderabad,Medicine
T0859,U132,27-10-2024,Expense,TRAVEL,475,BankTransfer,DEL,
T6964,U028,16-04-2022,Expense,Saving,,CASH,DEL,Train ticket
T5011,U129,2022-07-16,Expense,TRAVEL,₹6799,CARD,Bangalore,Restaurant dinner
T13370,U046,2021-09-23,Expense,Health,,CARD,Delhi,Movie tickets
T1330,U108,2022-03-21,Expense,rent,₹1564,,,Doctor consultation
T4361,U008,19-03-23,Expense,education,1002 INR,Bank_Transfer,AHMEDABAD,N/A
T7760,U089,2024-05-11,Expense,Rent,46614,Bank Transfr,LUC,...
T7501,U047,01/12/2021,Expense,Food,4005,cash,kolkata,Monthly rent payment
T13770,U147,,Expense,Foods,651,Bank_Transfer,CHE,Coffee
T10853,U083,2023-04-28,Expense,Travel,$4601,Upi,PUN,Medicine
T5130,U075,2021-09-10,Expense,Rent,₹46896,UPI,delhi,Lunch
T12558,U124,01/13/2021,Expense,Rentt,,Csh,Chennai,...
T4248,U058,2022-03-21,Income,Salary,78532,Bank_Transfer,kolkata,misc
T5305,U046,01/16/2023,Income,Bonus,178518,Bank Transfr,pune,Shopping
T6784,U022,2021-01-12,Expense,Fod,8687,,BANGALORE,Coffee
T1468,U139,2022-12-07,Income,Freelance,57170,UPi,DEL,Movie tickets
T5253,U075,2021-08-07,Expense,FOOD,7235,Crd,BAN,test
T6241,U037,04-07-22,Expense,TRAVEL,9675,csh,MUM,Restaurant dinner
T4458,U075,04/21/2022,Expense,Food,4895,UPi,AHM,Fixed deposit
T4529,U064,2024-01-31,Income,Bonus,21355,Bank_Transfer,JAI,EMI payment
T5154,U072,11-03-24,Income,Others,₹13183,upi,CHENNAI,Books
T10901,U086,2022-07-12,Expense,Traval,₹9364,UPI,DELHI,EMI payment
T12719,U019,2021-05-18,Expense,FOOD,$5042,cash,JAI,EMI payment
T6988,U044,10/07/2023,Expense,Rnt,2824,UPI,AHM,Doctor consultation
T2128,U126,2023-10-18,Expense,HEALTH,₹9979,upi,HYD,Internet bill
T1182,U023,2024-09-20,Expense,Health,8548,,BAN,ATM withdrawal
T4182,U117,03/03/2023,Expense,Food,700,Bank Transfr,PUN,Gym membership
T4082,U138,07/23/2021,Expense,food,Rs.6556,Upi,mumbai,
T8735,U023,2023-07-12,Expense,FOOD,8641 INR,Card,HYDERABAD,N/A
T8123,U020,2023-05-15,Expense,RENT,5988,Bank Transfer,MUM,Movie tickets
T7895,U117,2024-08-23,Expense,Utlities,6348,card,Chennai,!!!
T8735,U113,2021-05-15,Expense,Rnt,5549,UPi,,Fixed deposit
T10792,U053,2022-07-15,Expense,Rent,44898,cash,Chennai,Coffee
T8838,U010,16-07-2023,Expense,RENT,3221,Upi,DEL,ATM withdrawal
T1044,U075,2021-05-06,Expense,food,₹1810,Card,KOL,Internet bill
T8602,U097,12/07/2024,Expense,RENT,$9944,UPI,DEL,misc
T7931,U085,12-08-21,Expense,travel,1037,CASH,BANGALORE,Electricity bill
T13820,U148,10/16/2023,Expense,utilities,6278,BankTransfer,HYD,
T0241,U148,13-12-23,Expense,TRAVEL,$2963,UPI,,xyz123
T9531,U149,06/15/2021,Expense,Utilities,999,csh,CHENNAI,Fixed deposit
T1003,U064,08-11-22,Income,Investment,43737,UPI,LUCKNOW,Internet bill
T5549,U114,2021-01-30,Expense,Rent,45894,Bank Transfr,MUM,Petrol
T13844,U006,2024-05-29,Expense,Travl,₹7040,UPi,JAIPUR,Uber ride
T9591,U034,08/22/2022,Expense,entertainment,5011,upi,,Uber ride
T5042,U008,13-07-23,Expense,Travl,2082,Csh,DEL,Grocery shopping
